date;home_team;away_team;home_score;away_score;competition;stadium;city;country;neutral;world_cup;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;snow_depth_mm;avg_wind_dir_deg;avg_wind_speed_kmh;peak_wind_gust_kmh;avg_sea_level_pres_hpa
2021-07-13;Australia;France;26;28;2021 France tour of Australia;Melbourne Rectangular Stadium;Melbourne;Australia;FALSE;FALSE;Winter;10.1;6.8;13.3;1.0;;355.0;19.1;;1013.2
2021-07-10;Wales;Argentina;20;20;2021 Argentina tour of Europe;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2021-07-07;Australia;France;23;21;2021 France tour of Australia;Lang Park;Brisbane;Australia;FALSE;FALSE;Winter;12.3;8.0;22.0;0.0;;188.0;7.6;;1022.2
2021-03-26;France;Scotland;23;27;2021 Six Nations Championship;Stade de France;Saint-Denis;France;FALSE;FALSE;Spring;8.9;3.7;15.6;0.3;;213.0;15.1;59.0;1018.6
2021-03-20;France;Wales;32;30;2021 Six Nations Championship;Stade de France;Paris;France;FALSE;FALSE;Spring;5.1;1.0;9.1;0.0;;17.0;13.8;37.0;1029.3
2021-03-20;Ireland;England;32;18;2021 Six Nations Championship;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Spring;8.4;3.2;13.5;0.1;;288.0;13.7;29.6;1033.8
2021-03-20;Scotland;Italy;52;10;2021 Six Nations Championship;Murrayfield;Edinburgh;Scotland;FALSE;FALSE;Spring;8.6;1.4;15.1;;;286.0;16.2;40.8;1028.8
2021-03-14;Scotland;Ireland;24;27;2021 Six Nations Championship;Murrayfield Stadium;Edinburgh;Scotland;FALSE;FALSE;Spring;5.7;1.7;9.8;0.3;;261.0;22.9;50.0;1004.6
2021-03-13;England;France;23;20;2021 Six Nations Championship;Twickenham;London;England;FALSE;FALSE;Spring;6.9;3.7;11.2;6.1;;257.0;30.7;93.0;995.9
2021-03-13;Italy;Wales;7;48;2021 Six Nations;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Spring;13.6;10.3;17.5;0.0;;187.0;14.8;;1016.0
2021-02-27;Italy;Ireland;10;48;2021 Six Nations Championship;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Winter;10.3;7.5;15.0;0.0;;292.0;4.5;;1023.6
